YYYY,MM,DD,days,days_m,Bsr,dB,Kp,ap,index,hour,Ap,SN,F10.7obs,F10.7adj,D
1932,1,1,0,0.5,1352,10,3.333,18,1,0,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,2.667,12,2,3,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,2.333,9,3,6,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,2.667,12,4,9,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,3.333,18,5,12,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,2.667,12,6,15,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,3.333,18,7,18,15,22,-1,-1,2
1932,1,1,0,0.5,1352,10,3.333,18,8,21,15,22,-1,-1,2
1932,1,2,1,1.5,1352,11,3.667,22,1,0,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,3.667,22,2,3,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,3.333,18,3,6,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,3.667,22,4,9,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,3.333,18,5,12,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,4.667,39,6,15,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,3,15,7,18,26,43,-1,-1,2
1932,1,2,1,1.5,1352,11,5,48,8,21,26,43,-1,-1,2
